Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805",125.310000,-107.061000,0.000000,top
"C2","10u","C_0805",127.450000,-115.400000,270.000000,top
"C3","10u","C_0805",181.229000,-68.731500,270.000000,top
"C4","10u","C_0805",181.229000,-85.495500,270.000000,top
"C5","2u2","C_0603",173.600000,-115.550000,270.000000,top
"C6","2u2","C_0603",195.350000,-102.750000,0.000000,top
"C7","2u2","C_0603",177.350000,-102.750000,180.000000,top
"C8","2u2","C_0603",177.350000,-128.350000,180.000000,top
"C9","2u2","C_0603",199.100000,-115.550000,90.000000,top
"C10","2u2","C_0603",195.350000,-128.350000,0.000000,top
"C11","2u2","C_0603",186.350000,-128.750000,0.000000,top
"C12","2u2","C_0603",186.350000,-102.350000,180.000000,top
"C13","10u","C_0805",130.800000,-113.250000,270.000000,top
"C14","10u","C_0805",169.000000,-113.250000,270.000000,top
"J3","JTAG","IDC_SMD_2x05_P2.54mm_Vertical",209.042000,-131.064000,180.000000,top
"R1","270","R_0805",191.600000,-131.800000,90.000000,top
"R2","270","R_0805",189.600000,-131.800000,90.000000,top
"R3","270","R_0805",187.600000,-131.800000,90.000000,top
"R4","15","R_0805",193.600000,-131.800000,270.000000,top
"R5","15","R_0805",195.600000,-131.800000,270.000000,top
"U1","M5LV-256/104-10VNC","TQFP-144_20x20mm_P0.5mm",186.350000,-115.550000,0.000000,top
"U2","IS62C1024","SOP-32_P1.27mm",192.786000,-74.422000,90.000000,top
"U3","IS62C1024","SOP-32_P1.27mm",192.786000,-91.186000,90.000000,top
"U4","LD1117S33TR","SOT-223",121.300000,-114.550000,180.000000,top
"U5","25.175M","Crystal_SMD_3225-4Pin_3.2x2.5mm",202.150000,-115.200000,90.000000,top
